Year,Value
1992,80.3
1993,81.2
1994,83.0
1995,91.5
1996,93.0
1997,93.8
1998,94.9
1999,95.5
2000,100.0
2001,101.1
2002,100.3
2003,105.0
2004,110.3
2005,119.5
2006,125.6
2007,129.8
2008,145.6
2009,143.4
2010,149.1
2011,160.9
2012,166.1
2013,168.4
2014,171.8
2015,169.0
2016,170.4
2017,177.1
2018,185.2
2019,186.4
2020,184.4
2021,206.0
2022,229.4
