Year,Value
1992,70.8006766800582 
1993,72.4802744605897 
1994,74.0270093214520 
1995,75.5816370290273 
1996,76.9636744884777 
1997,78.2915144004988 
1998,79.1728822834532 
1999,80.2873522393322 
2000,82.1074426913555 
2001,83.9609461944639 
2002,85.2682647050312 
2003,86.9462839162201 
2004,89.2801986892613 
2005,92.0816330826039 
2006,94.9256888481969 
2007,97.4903378401488 
2008,99.3683091680677 
2009,100.0000000000000 
2010,101.1983972259270 
2011,103.3026301596200 
2012,105.2363776043110 
2013,107.0769894577880 
2014,109.0775630046490 
2015,110.1730901284170 
2016,111.2751946244450 
2017,113.3852156457270 
2018,116.0950930171990 
2019,118.1719640822860 
2020,119.5850467388070 
2021,124.5412282848050 
