Year,Value
1992,67.3
1993,68.9
1994,70.3
1995,71.8
1996,73.1
1997,74.4
1998,75.2
1999,76.3
2000,78.0
2001,79.8
2002,81.0
2003,82.6
2004,84.8
2005,87.5
2006,90.2
2007,92.6
2008,94.4
2009,95.0
2010,96.2
2011,98.2
2012,100.0
2013,101.7
2014,103.6
2015,104.7
2016,105.7
2017,107.7
2018,110.3
2019,112.3
2020,113.8
2021,118.9
2022,127.2
