Year,Value
1992,13.7
1993,13.97
1994,14.33
1995,14.86
1996,15.37 
1997,15.78 
1998,16.23 
1999,16.40 
2000,17.09 
2001,17.57 
2002,17.97 
2003,18.50 
2004,19.17 
2005,19.67 
2006,19.60 
2007,19.55 
2008,19.50 
2009,20.30 
2010,21.07 
2011,21.45 
2012,21.4475 
2013,21.4025 
2014,21.4883333 
2015,21.755
2016,22.715
2017,24.2758333 
2018,25.4625 
2019,25.4608333 
2020,26.0358333 
2021,26.685
